content,그 중앙도서관 2~3층이 법학관이여?
comment,맞아 차라리 10장 레포트가 나았다......,11/09 10:16
comment,저번 학기 대생에서는 ㅇㅂㅅ교수님 대체로 했는데... 과제 마렵다,11/09 10:16
comment,"그거 파파고만 열심히 돌리면 됐었는데,,,또르르 시험 에바야",11/09 10:17
comment,난 이미 다른과목 하나도 자체 수강했는데 바환까지 조짐 ^^,11/09 10:16
comment,괜찮아 우리에게는 재수강이 잇다^0^함께해요,11/09 10:17
comment,자체 드랍* 재수강 할생각하면 끔찍하다...ㅋ,11/09 10:18
content,법대 친구들아.. 모르는거 있으면 제발 선배들한테 물어봐!!!!!! 제발!!! 전공 지식은 몰라도 요식은 알려줄 수 있으니까....
comment,삭제된 댓글입니다.,
comment,에타에 질문하고 새내기들 끼리 답변하는거 보니까 답답해서...,11/08 03:51
comment,혹시 워드로 제출하면 안되는건가요? ㅜ,11/08 03:35
comment,안되는건 아니구요 교바교긴 한데 별로 안 좋아하는 교수님도 있다고 들었어요 한글 절대 안되는거 아니면 그냥 안전빵으로 한글로 보내는거 추천 드립니다 근데 보통 별 상관 없어요,11/08 03:52
comment,글씨크기는 명시해주지 않았다면 10포인트로 해야하는건가요?,11/08 04:27
comment,네 보통 10포인트입니다. 11포인트로 쓴적은 거의 없고 외부 강사분 아닌 이상 항상 10포인트였어요,11/08 06:14
content,힘든 남자새내기들아.. 학교에 지친 너희들을 위해 준비했어
comment,^^ㅣ발,11/08 11:19
comment,진짜 뒤짐?,11/08 11:33
comment,어림도 없지,11/08 11:45
comment,면제 딱대^^,11/08 11:46
comment,어디살아?,11/08 11:49
comment,얘들아 미안한데 나는 현재진행형이야,11/08 11:55
comment,난 탈출했는데ㅎㅎ,11/08 14:06
content,다음달이면 여길 비워줘야되는구나...
content,맥북쓰는 애들아 너네 한컴스페이스 씀??? 그거 써도 한글 쓰는거랑 똑같지? 사야되나 아님 스페이스쓸까
comment,나는 그냥 샀어,11/08 22:30
content,"경영통계 ㄱㅅㄱ 교수님이번 주 과제 9강,10강 둘 다 해야해?보고서는 무슨 말이야....ㅠㅠㅠㅠ"
content,번입 ㅇㄱㅎ 교수님 다들 성적 어케 받았어ㅠ
content,20학번은 2학년 되도 mt없는 거임?
comment,돼,11/08 14:19
comment,지,11/08 16:01
comment,알아서 가셈,11/08 18:35
comment,아직도 기다리고만 있으면 바보😜,11/08 18:36
comment,걍 이제 다 가는 추세 아니냐 이정도면 내 주변 다른 학교 애들은 1학기부터 가던데...,11/09 00:27
comment,2학년 되면 mt못가는게 뭐야 과행사가 무조건 새내기를 위한 행사도 아니고,11/09 02:29
content,팀플할 때 나만 팀원들보다 능력이 떨어져서 도움이안 되네... 기죽는다 매번ㅠㅠ
comment,나도 ㅠㅠ,11/08 15:02
comment,의도치않게 버스타는 것 같아ㅠㅠ 잘 하고싶은데 진짜 다른 분들이 더 잘하셔서 난 하나마나인것같아ㅠㅠ,11/08 15:15
comment,"근데 이게 진짜인게 예전에 완전 똥망 팀 만났을 때는 이런 글 올라오면 뭐 이런걸 걱정하고 자빠졌지;; 이랬는데 진짜 학교 내 완전 에이스 팀이나, 대외활동 같은거에서 만난 분들이랑 같은 팀했을때는 완전 내 능력 부족 땜에 회의때마다 안절부절 못해짐..",11/08 16:51
comment,맞아...수업때 우리팀만 칭찬받을 정도로 잘하는데 그게 내 능력이 아니라는거... 회의때는 말할 타이밍도 못 잡고 후..,11/08 17:20
comment,무슨팀플이야?0,11/08 17:06
comment,기보작이야,11/08 17:20
comment,뭔 능력 말하는거? 어차피 개별평가 아닌가,11/08 17:36
comment,우린 팀원평가여서~,11/08 17:38
comment,나도...진짜 숨이 턱턱 막혀 나만 이런 고민하나 했는데 ㅠ반갑다,11/08 18:16
comment,반가워ㅠㅠ 우리 종강때까지 힘내자!!,11/08 18:40
comment,난 이거 솔직히 이해 못 했는데 이번에 대외활동 하면서 뼈저리게 느낌...ㅋㅋㅋㅋㅋㅋㅋㅋㅋ 진짜 다들 아이디어 개 신박하고 능력치 핵상타치인데 나는... 말하는 감자...,11/09 00:55
content,자아와 명상 ㅇㅅㅈ교수님 책 레포트 쓰는거 명상콘서트 참석한사람은 안써도 되는거 맞지?
content,정치학개론 ㅂㅁㅎ교수님 이번주 과제 주제 뭔지 아시는분.... 못들었는데 ㅠㅠㅠ 제발 알려주세요 ㅠㅠ 사례할게요..제발
comment,내용도 공지 안해주시면 우째.....,11/09 14:01
comment,그니까... 당연히 알려줄거라고 생각해서 흘려들었는데,11/09 14:02
comment,주제 알게 되셨나요?,11/10 08:43
comment,아뇨 ㅠ,11/10 08:43
content,재수하는 친구들한테 편의점 깊콘 1만원 정도 보내줄까 하는데 어때?
comment,일단 재수하는 친구한테 학원 근처에 편의점이 뭔지 물어봐ㅏ,11/08 16:57
comment,그래야긋다..! 고마워 😆,11/08 18:32
comment,조아~,11/08 17:25
comment,다행이다..!! 친구들도 맘에 들어 해줬으면.. 🙏🙏,11/08 18:34
content,자명2 안신정 교수님 레포트에서 공명구절 15개가 그냥 인상적인 구절 15개 발췌해서 쓰면 되는거야?
content,자명 ㅇㅎㄴ 교수님 34쪽 뭐 쓰는지 아시는 분 ㅠㅠ 저도 알려드릴게요!!!!
comment,삭제된 댓글입니다.,
comment,헉 진짜 감사드려요...,11/08 17:01
comment,넹 패스성공하세요!,11/08 17:06
comment,쪽지드렸는데봐주세요,11/08 17:43
comment,"저도 알려주실 수 있나요?ㅠ 제가 34 빼고 다 아는데,, 나머지는 제가 다 알려드릴 수 있습니다",11/18 14:30
comment,저도 알려주실 수 있나요?ㅠㅠ,11/10 22:30
comment,저도 한번 ㅡ만 알려쥬시ㅔ요 제발 ㅜㅜ,11/11 10:46
comment,제발 알려주세요 저도ㅜㅠㅜㅠ 이것만 쓰면 되는데ㅡㅠㅜㅠ,11/11 20:54
comment,저도 알려주실 수 있냐요ㅠㅠㅠㅠㅠㅠ,11/16 16:52
content,경통 ㄱㅅㄱ 교수님 지난시간에 진도 어디까지 나갔는지 아는사람..? 중간에 졸아버려서 다 못들음요;;
content,프로그래밍및실습1 ㅇㅅㅇ교수님 성적 공개 공지 하셨엇나??
comment,수업시간에 개인별로 공개하겠다는 말씀은 하셨는데 아직 공개적으로 공지 사항에는 게시가 안되어있네요ㅠ,11/08 18:09
content,생각해보니 1학기 때 들은 지역 연구가 참 재밌었는데다시 듣고 싶다
comment,지금 개빡치는데 ㅠ,11/08 18:09
content,sw 싸강 4차 요약본 만들사람!?4차 산업혁명과 ict 융합기술 요약 같이 할 사람 구해요! 15명 들어오면 되고 15명 되면 내가 방 닫거나 몇명 더 들어오면 제가 알아서 인원 선착순대로 조정할게요!4차 요약본 공유방https://open.kakao.com/o/gbLB7Ouc
comment,구글링하면서 시험쳐도 p뜨던데.. 저번학기에 들어봤어서,11/08 19:17
content,교양한문 ㅎㅅㄹ 교수님 수업 들으시는 분 계신가요?? 질문 하나만 받아주세요
content,드디어 과제 다했당 옷좀사장
content,오늘 ㅇㅅㅈ교수님 원가관리회계 보강 몇명정도 들었나요? 저 알바때문에 못들었는데 괜찮겠죠?
content,방학 때도 학식 운영하나요???
content,남진숙교수님 칼럼 제출하는 란 나만 없어?
comment,나도 없음,11/07 16:00
comment,머지...발표인가!?,11/07 16:00
comment,그러게.. 일단은 써둬야지,11/07 16:05
comment,엇 아니 자표글...,11/07 16:22
comment,삭제된 댓글입니다.,
comment,어디??,11/07 16:22
content,누가 빠른 단톡 답장 문화 좀 법으로 만들었음 좋겠다. 왜 나만 팀플에 목매는 것 같지
content,자표글 ㄴㅈㅅ 교수님 에세이과제 점수 나온거 맞어? 오늘 들어가보니까 원점수 입력되어 있길래
comment,응 나 나옴,11/07 19:33
comment,몇점 만점이야?,11/09 11:55
content,미팅하고 싶다.... ㅠㅠ
comment,나랑 1대1 미팅하자,11/07 16:13
comment,여자야??,11/07 16:13
comment,씹ㅋㅋㅋㅋㄲㅋㄱ,11/07 16:13
comment,ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㄱㅋㅋㄱㄱㄱ,11/07 16:13
comment,진짜 고프구나.....,11/07 16:14
comment,코로나때문에밖에 안나가니까..,11/07 16:14
content,창공 경진대회 포스터 이거 어케 만듬??예시같은거 찾아볼수 있는 사이트 뭐 있나요감이 전혀 안잡힘
content,상대팀 장난하나 진짜 개똥같은 주장을 펼치면 어케 반박하라는건데
comment,논리적 오류에 기반하고 있는 똥소리를 하는거면 그건 ㅇㅇ한 오류임니다 이런식으로 패보자,11/07 18:33
comment,논리적 오류라기보다는 개쌉소리인데 듣다보면 어? 맞는것같은데? 이런 쌉소리라서 반박하기도 힘들다..... 후,11/07 18:39
comment,무슨 수업임?,11/08 16:00
comment,아개웃겨 ㅋㅋㅋ나도 저번 학기에 그랬는데 어중간한 쌉소리는 어디서부터 어떻게 반박해야할지도 모르겠음,11/09 03:57
content,새내기여서 그러는데 세미나 리뷰는 어떻게 작성하는거에요?ㅠㅠ제발알려주세요❤️
content,5년동안 기계 전자 컴퓨터 세개를 배워가는건 욕심일까? 4차산업혁명 시대에 기계만 전공해서 먹고살려면 빡세보이는데현대차도 전자 컴퓨터가 신입으로 더 많이 들어가고 말이지...
comment,삭제된 댓글입니다.,
comment,말만 저렇고 18학점에 계절도 안들음 ㅋㅋ,11/07 16:46
comment,5년 절대불가 6년잡으셈,11/07 20:54
content,ㅅㅇㅂ 교수님 에세이 주제 나만 지금 시작하는거?
comment,시작도 안함,11/07 17:31
comment,ㅋㅋㅋㅋㅋ나도 지금 노트북으로 유튜브나 보는중,11/07 17:32
comment,ㅋㅋㅋㅋ ㅜㅜ 무슨 책 할거야? 난 그것도 못정했어..,11/07 17:32
comment,그나마 읽을 수 있는게 역사란 무엇인가여서 이걸로 생각하고 있긴한데.. 쓰흡.. 중간에 바뀔 수도 있어..,11/07 17:34
comment,"칸트가 엮기 젤 쉬워,,!",11/07 19:26
comment,진짜? 근데 책이 없어서 쓰는데 약간 망설여져ㅎㅎ 책 안읽어도 쓸 수 있을까?,11/07 19:33
comment,응응 나 그냥 책 없이 했는데 에세이 계획안 9점 맞았당,11/07 19:37
comment,오 고마워!! 칸트 책도 한번 생각해봐야겠다😊😊,11/07 19:45
comment,이제 시작 인데 진짜 뭘 어떻게 해야하는 건지 감이 안 오는데,11/08 15:50
comment,아니 난 이제 시작인데ㅠㅠㅠ,11/09 10:37
comment,나는 지금 엎어버려서 새로운 시작하고있어 ㅎㅎ,11/09 13:33
content,설계입문 자동차 만들어야하는데 못 만들겠어... 팀원들아 미안해ㅠㅠ
comment,ㅋㅋㅋㅋㅋ화공?,11/07 17:08
comment,엉ㅋㅋㅋㅋㅋㅋㅋㅋ,11/07 17:08
comment,무슨요일쉅이야??,11/07 17:09
comment,월요일~,11/07 17:15
comment,다른반이네ㅋㅋㅋㅋㅋ,11/07 18:05
content,뷰트캠프 써서 윈도우 되는 맥인데 윈도우용 한글 사도 되는거징????????? 맥용 머무 비싸
comment,ㅇㅇ 그 대신 한글 쓸때마다 윈도우 켜야하니 크롬에서 파일 받는것도 윈도우에서 받게 될거구... 지금까지 맥os를 주로 쓰고있었다면 되게 불편할걸,11/07 18:32
comment,ㅇㅇ 되는데 굳이..? 난 그냥 한글뷰어랑 워드사용함,11/08 12:15
content,남진숙교수님 자표글 칼럼 다 쓴사람??
content,ws2812 아두이노에 대해 잘 아시는 분 계신가요 정말 저 빡대가린데 누가 이게 왜이렇게 생겼는지 알려주실 분 있너요..
content,이원철 교수님 중간 기말 평균 몇점 넘어야 에이쁠 줘?
content,"세미나 에세이 작문을 위한 간단한 조언.19학번입니다. 요즈음 에타를 보는데 에세이 작문을 놓고 고민하는 분들이 많아, 간단한 팁을 드리면 어떨까 싶어 글을 남깁니다. 저는 현재 모든 세미나를 모두 들은 [3개] 상태이고, 제가 들었던 세미나는 자기세, 경사세, 존역세였습니다. 본론으로 들어가자면, 1. 주제를 선정할 때 참신한 주제를 고집할 필요는 없습니다. 물론 참신한 주제를 선정해 그것으로 좋은 글을 쓴다면 매우 훌륭하겠으나, 참신한 주제가 글로 쓸만한 것이 되려면 매우 오랜 시간 동안의 고민과 수준 높은 독해력이 따라야 합니다. 평범한 주제를 선택해도 논리 구성이 좋다면 좋은 점수를 받을 수 있습니다. 세미나 에세이에서 교수님들이 엄청난 수준의 글을 바라는 것이 아니기에, 주제 자체에 얽매여 너무 오랜 시간을 허비하는 것은 바람직하지 못합니다.2. 구성을 먼저 생각하고 글을 써야 합니다. 당연한 겁니다. 설계도가 있어야 집을 지을 수 있듯이, 구성을 먼저 짜놓고 글을 써야 완성도 있는 글이 나옵니다. 가끔 그것을 생략했을 때도 좋은 글이 나오는 경우도 있지만 매우 드문 현상입니다. 구성은 구체적일 수록 좋습니다.예를 들어, “서론 - 본론 - 결론” 이런 식으로 짜는 것보다는 “글을 쓸 때 구성이 필요한 이유 - 구성을 잘 활용해 좋은 결과를 낸 사례 - 결과가 지닌 공통적 특성 - 어떻게 활용해야 하는가?” 처럼 짜는 게 더 좋습니다. 그래야 내용이 명확해지고 쓰는 것도 쉬워집니다. 구성에 오랜 시간을 투자할 수록 작문에 필요한 시간이 줄어듭니다. 그러나 이러한 구성이 머리 속에서 그냥 나오는 것은 아닙니다. 필요한 선행 연구가 있습니다.3. 정보 수집을 선행으로 해야 하고, 많이 하면 많이 할 수록 좋습니다. 글을 쓸 때 본인 생각과 교재 내용만으로 쓸 수도 있겠지만 조사한 정보가 많이 그리고 적절히 들어갈 수록 글의 수준은 높아집니다. 주제를 선정하고 연구 조사를 통해 구성을 구체화할 수도 있고, 주제를 못 정한 가운데 연구 조사를 하다 주제를 정할 수도 있습니다.모든 경우에서 자료 조사는 반드시 필요합니다. 자료는 글에 힘을 더할 강화 같은 존재입니다. 빈약한 근거와 주장에 적절한 자료가 뒷받침된다면 강력한 것으로 탈바꿈할 수 있습니다. 좋은 자료는 학술 논문 [dbpia 나 Riss, 구글 학술검색] 혹은 믿을 만한 출처에서 확보할 수 있는 자료입니다.논문을 읽을 때 모든 내용을 다 읽을 필요는 없습니다. 필요한 부분만 발췌해도 됩니다. 그러나 그 발췌 내용이, 논문이 이야기하고자 하는 것과 완전히 어긋나거나 연관성이 별로 없다면 문제가 될 수 있습니다.자료 조사를 할 때 굳이 한글로 된 것만 찾을 필요는 없습니다. 영어로 된 자료를 제대로 활용할 수 있다면 당신이 가진 힘은 훨씬 강해질 것입니다. 언어와 관계없이, 적절하다고 생각한 자료를 쓰면 됩니다.4. 표현은 짧을 수록 좋습니다. 유려하게 쓰려 하지 않아도 됩니다. 교수님들도 짧은 문장을 선호할 것입니다. 읽기 쉬우니까요. 짧은 문장이라 함은, 접속사를 자제하고 문장을 끊어쓰는 것을 의미합니다. 그렇게 쓰는 이유는 간단합니다. 이해하기 쉽고 쓰기 쉽습니다. 다소 경직되어 보일 수 있겠으나 가장 좋은 방식입니다. 본인만의 스타일이 있다면 그걸로 글을 써보시고 반응을 보는 것도 하나의 방법입니다. 자기만의 스타일이 없다면 짧게 쓰는 것을 추천합니다. 스타일을 만들고 싶다면 많은 글을 읽고 많이 쓰는 연습을 해야 합니다.5. 자기만의 독창적인 해석이 들어가야 합니다. 교수님은 학생들의 생각이 어떤지를 물어보는 것이 목적입니다. 일반적인 해석을 나열해놓는다면 굳이 글을 쓸 필요가 없습니다. 독창적인 생각이 필요합니다. 독창적이라는 말이 거창하게 들리겠지만 사실 별거 없습니다. 본인의 생각을 적으라는 겁니다.본인의 생각을 적으려면 텍스트를 읽어야 합니다. 그래야 본인만의 해석이 나옵니다. 그래서 텍스트를 스스로 읽어야 한다는 겁니다. 아니면 수업을 듣는 도중에 떠오를 수도 있죠. 그런 생각을 적으면 됩니다. 그게 투박해 보일 수 있습니다. 그러나 앞에 있는 방법론을 활용한다면 꽤 괜찮은 결과를 만들 수 있습니다. 그리고 갓 진학한 대학생의 생각은 투박한게 당연합니다. 그게 세련되었다면 수준이 많이 높은 것입니다.결론은, 자료 조사와 구성을 충실히 이행하고 표현을 간단하고 짧게 하며, 본인의 생각이 주가 되어야 한다는 것입니다. 도움이 될 수 있었으면 좋겠네요. 제 경험담과 글쓰기 담론을 다룬 다수의 서적을 읽은 제 생각을 결합한 팁입니다.모두 마지막에 웃을 수 있는 성적을 받길 바랍니다. ✍️💪"
comment,새게에 이런 좋은 글이... 감사합니다,11/07 20:44
comment,제가 더 감사합니다 :),11/07 23:42
comment,감사합니다!,11/07 20:53
comment,저두요 :),11/07 23:42
comment,세상에... 선배님 최고❤,11/07 21:48
comment,후배님도 화이팅! :),11/07 23:42
comment,사랑합니다 선배님💜💙🤎💚🖤💛🧡❤,11/07 21:48
comment,고맙습니다 후배님 :),11/07 23:43
comment,결국엔 제대로된 레퍼런스와 탄탄한 논리 전개만 있으면 기본적으로 잘받게 되어있음... 역으로 말하자면 이것도 못하는 애들이 많다는 것,11/07 22:02
comment,중요한 부분을 잘 짚으셨네요 :),11/07 23:43
comment,세미나 3대장 경사세 자기세 존역세 다들었네 ㄷㄷ,11/07 22:06
comment,관심있는 세 분야라.. ㅎㅎ,11/07 23:43
comment,정말 알라뷰입니다 선배님,11/07 22:30
comment,감사합니다 후배님!,11/07 23:44
comment,동기야.....고맙다 진짜....나는 두개나 남았는데 너 조언 보고 잘 해라는 계시였나 보다....와....너무 고맙다 진짜,11/07 23:09
comment,도움이 될 수 있다니 다행입니다 :),11/07 23:44
comment,감사합니다💜💛,11/08 00:44
comment,감사합니다 후배님..!,11/08 01:23
comment,공감합니다,11/08 03:20
comment,조언 감사합니다 ㅠㅠ!! 참고할게요 이 글 지우지 말아주세요🥺🥺,11/08 15:05
comment,추가로 교수님한테 주제에 대해 자주 질문하세요. 쉅 끝나고 간단히 물어보는게 최고지만 메일로라도 자주 물어보시면 좋아요. 그러다보면 교수님이 인정한 주제로 글을 쓰는거니까 학점도 잘 나오고요. 물론 쓰고싶은 주제가 명확하다면 위의 과정은 안 하셔도 무방합니다ㅎㅎ,11/08 15:50
comment,+자료조사 하다보면 한두줄정도는 복붙하게 되기 마련이지만 한줄이라도 복붙해왔으면 말투나 사용된 단어들은 본인이 다듬는게 좋습니다👍,11/08 18:14
comment,감사합니다 _17보칵생,11/08 18:35
comment,감사합니다 선배림ㅠㅠㅠㅠ,11/09 08:32
content,"진짜 20학번이 세미나 팀플 조장 ,, 같은 팀에 고학번들도 있으신데 .. 전 아는 것도 없는데 뭘 해야하죠 어쩌다 ㅋㅋㅋㅋ ㅠ"
comment,와 우린 그때 고학번들이 새내기 조장이라도 같이 열심히 하자고 해서 다같이 열심히 함...,11/07 21:09
comment,아무도 협조 안함 ㅋㅋ ㅋㅋ 말걸어야지 대답하는 수준 ..,11/07 21:10
comment,두명만 열심히 해줘도 좋은데ㅠㅠ하ㅠㅠ,11/07 21:16
comment,1학기때 저 혼자했어요 ㅎㅎ,11/07 22:40
content,ㅂㅂㅅ 형총 레포트워드로 써 아님 한글로써..??
comment,무조건 한글이지...,11/07 23:24
comment,왜? 나는 워드로 쓰려고 했는데,11/07 23:44
comment,일반적으로 법대에 제출하는 논문/레포트는 한글이야.,11/07 23:45
comment,그렇구나 몰랐어 'ㅁ' !!,11/07 23:47
content,4차 산업혁명과 ict 융합기술 기말 요약방 만들면 들어올사람?!
comment,나나,11/07 23:52
comment,쪽지보냈오,11/07 23:59
comment,나 들어갈랭,11/07 23:56
comment,쪽지보냈어!,11/07 23:59
comment,나나!!,11/08 00:18
comment,보내쒀,11/08 00:34
comment,나도!!!!!!!!!!!!!!!!,11/08 00:33
comment,보냈당!!,11/08 00:35
comment,나도!,11/08 01:24
comment,보냈엉,11/08 01:29
comment,나도!!!!,11/08 01:29
comment,보냈오,11/08 01:30
comment,삭제된 댓글입니다.,
comment,보냈오,11/08 02:20
comment,나도,11/08 02:41
comment,보냈엉,11/08 02:55
comment,나도!,11/08 06:41
comment,보내써!,11/08 13:50
comment,나두!,11/08 10:22
comment,보냈당,11/08 13:51
comment,나도!,11/08 11:34
comment,보냈어!,11/08 13:51
comment,저도 가능할까요?,11/08 15:28
comment,라스트!,11/08 15:29
comment,저도요...!,11/08 16:01
comment,가능할까요...?ㅠㅠ,11/08 16:02
comment,앗 죄송해요 ㅠㅠ 혹시 자리 생기면 쪽지드릴게용,11/08 16:29
comment,네ㅠㅠ,11/08 16:58
content,와 1년전 어제 수시1차 합격 문자 받고 참 행복했었는데ㅎㅎ물론 지금은 빡치는 것들이 많지만 행복해!그러니 20학번들 모두 2학기 잘 마치고 행복하자!!!
comment,앗 11.06일이었네,11/08 00:26
comment,너도 행복해야 해,11/08 01:38
comment,고마워~!,11/08 08:19
comment,진짜 도서관에서 수능 문제풀다가 그거 확인하고 나와서 울었잖아 나 ....,11/08 01:55
comment,1차 합격만으로도 감사할 때가 있었지이,11/08 08:20
comment,최종 나올때 진짜 다른 대학 다 떨어져서 벼랑끝으로 내몰린 기분이었는데.. 합격 글자 보고 울었다 내가...,11/08 06:34
comment,나랑 똑같다.. 나도 오전까지 타 대학 다 떨어지고 유일하게 동대만이 날 받아줌..ㅎ,11/08 08:19
comment,심지어 합격글자 빨간색으로 써있어서ㅋㅋㅋ처음에 떨어진줄알았음,11/08 09:05
comment,ㅠ ㅠ,11/08 18:21
comment,왜 슬퍼행 ㅠ,11/08 22:53
comment,"하하,, 난 쫄보라서 합격문자 내가 직접 확인한 게 없당,,, 가슴 철렁한 경험 없는게 공감이 안돼서 아쉽당,,ㅠㅠ",11/08 22:29
comment,난 너무 궁금해서 바로 봤어 ㅋㅋㅋ그리고 아직도 삭제 안했어 ㅋㅋㅋㅋ그리고 합격이든 불합격이든 다 캡처해놨오..,11/08 22:53
comment,나도 무조건 붙을 거라 생각했던 데가 떨어져서 마음 비우고 있었는데 안정권 예비번호 받고 너무 좋았어ㅜㅜ 결과적으로도 여기 하나 붙었고..ㅎㅎ,11/08 22:39
comment,나도 여기만 붙었다 히히 행복합세 우리모두,11/08 22:53
content,ㅈㅎㅊ 교수님 발표 어려워보여 ㅠㅠㅠ 설명 제대로 안해주셔서 첫 번째분들 혼동온듯...
comment,토론 설명 거의 안해주셨는데 갑자기 진행하라고 하셔서 발표자분 당황하신 듯,11/06 15:44
comment,그러게...뭔가 체계적인게 없는 수업 같음 학생들이 알아서 책임져야하는?,11/06 15:46
comment,마자마자 흘러가는대로..,11/06 15:48
comment,일학기때는 정말 좋으셨는데 ㅠㅠㅠㅠㅠ 온라인이라 소통이 어려워서 그런거이실거야..,11/06 16:11
comment,그건 나도 이해하는데 다른 수업도 다 온라인인데 이러지 않아서..그리고 너무 다 학생책임으로 몰아 ㅋㅋ시험 때도 글코,11/06 16:12
comment,삭제된 댓글입니다.,
comment,그래? 그럼 그때 첫분이 대처능력이 조앗나보네,11/06 16:16
comment,댓글 다 뭐 어쩌라는건지 ㅠㅠ 충분한 설명없이 수업진행하시고 다 학생탓하는데 일학기땐 안그랬다 일학기땐 다 알아서 잘했다 어쩌구...,11/06 16:48
comment,"중간고사 공지랑 시험횟수 응시, 이번 발표 다 넘 별로야....다음 학기에는 의사소통 되셨음 좋겠다",11/06 17:26
content,엘지 유플 아이폰 매니아 클럽? 그거로 이번 달에 아이폰 12로 바꿀 수 있고 남은 할부금은 다 사라진다구 하는데 이거 먼 말인지 아는 사람 있니 혹쉬
content,진짜 나처럼 동기 한명도 모르고 한번도 안만난 사람 잇어??
comment,나,11/06 17:04
comment,Na,11/06 17:05
comment,나,11/06 17:08
comment,나,11/06 17:12
comment,이츠미,11/06 17:13
comment,나,11/06 17:18
comment,나ㅎ...,11/06 17:24
comment,"나,,",11/06 18:32
comment,나ㅋㅋㅋ,11/06 18:41
comment,나,11/06 19:47
content,의경 결과 곧 나온다 ㅋㅋㅋㅋ 기대기대
comment,붙길바래ㅋㅋ,11/06 18:03
comment,-다른 군대 떨어진 익1이-,11/06 18:03
comment,광탈이요ㅠㅠ,11/06 18:23
comment,님 카투사 떨어지셨어요?,11/06 18:24
comment,ㄴㄴ나 그 직계가족 뭐시기 그거염....3대1이었는데 아침에 광탈함욬ㅋㅋㅋ,11/06 18:25
content,국통 ㅊㅁㅅ 교수님 오늘 수업 인터넷 연결 문제 때문에 제대로 못 들었는데 혹시 필기본이나 녹화본 있으신 분 공유해주시면 사례하겠습니다 ㅠㅠ
comment,녹음본은 있습니다!,11/07 08:34
comment,혹시 전체 다 녹음되어 있나요..?,11/07 09:11
content,"ㄲㄷ교수님 경개론 과제 이번에도 마감 1분전 세잎햇다,,,다음번에는 꼭 미리미리 해놔야지,,,휴"
content,이클래스로 시험볼때 사진도 나올 수 있나요?
comment,넵 사진 첨부하실수잇어여,11/07 02:44
content,자명 ㅇㅎㄴ 교수님 워크북 ... 맞춰볼사람 ... 다 못채웠어요 ...
comment,저랑 맞춰보실래요...? 정확치는 않지만 흑흑,11/06 19:42
comment,ㅠㅠㅠㅠㅠㅠㅠ네 근데 저 못한 부분이 많은데 괜찮을까요?,11/06 19:43
comment,넵 괜찮아요 !! 저도 지금 막 확인 중이라 ㅠㅠ,11/06 19:46
comment,쪽지 드렸어요ㅠㅠ,11/06 20:12
comment,저도 맞춰볼 수 있을까요...?,11/06 20:22
comment,혹시 43쪽이랑 55쪽 뭐 적어야되나요??,11/13 01:53
content,팀플 진짜 ㅈ같네 마지막 상호평가 때 뭐 쓰면 또 다같이 깎일까봐 짜증나고
comment,난 상호평가 이런거 없어서 그냥 교수님께 찌를까 생각 중,11/06 20:25
comment,부럽다,11/06 20:38
comment,상호평가 걍 솔직하게 써 너가 뭐라고 쓴다고 다같이 깎이는 거 아님 프리라이더 방지하려고 하는 거라서 상호평가 내라는 교수님이 좋은 거야,11/06 20:40
comment,그렇겠지..?팀 협동 점수 이런 거 고려하실까봐 걱정돼서 그랬어,11/06 20:43
comment,걍 쌍욕만 쓰지마 그건 읽는 사람도 기분 별로니까 은근 돌려까기 해 교수님들 다 알아들으셔 참여를 적극적으로 했으면 의미깊었을 텐데 아쉽다는 식으로 쓰면 돼 나 여태껏 팀플 가감없이 썼는데 협동점수 까인 적 없어 걱정마,11/06 20:50
content,자명 ㅎㅇㄱ 워크북 다 해야되는거야..??? 검사한다고하시지 않았어?
comment,ㅎㅇㄱ교수님..,11/06 20:03
comment,잘 모르겠어ㅜ.....,11/06 20:13
comment,헐.. 수업안들었는데..,11/06 20:07
comment,나두..ㅠㅠㅠㅠㅠ한반도 안들었는데 강의 12주차 어찌구 그랬던거같은데..,11/06 20:11
comment,첨부터 다채우면되는건가..,11/06 20:12
comment,글쎄..,11/06 20:23
comment,오늘 뭐 과제란에 올린다고하시지 않으셨나요?? 혹시 들으신 것 ㄱ있나요? 마지막 멘트만 들어서ㅜㅜ,11/06 20:22
comment,저는 12주차? 어찌구부분만 대충 들었어요.. 오늘 과제란 올라오면 알겠네요..흠,11/06 20:24
content,"😚😙😚설문조사 부탁드립니다!!!😙😚😙설문조사 부탁드립니다! 본 설문은 동국대학교 유튜브 채널 인식에 관한 설문조사이며, 실용글쓰기 기획서 작성 및 발표에 활용될 예정입니다. 질문은 부담스럽지 않게 간단하게 답변가능한 질문으로 6개입니다. 시간 조금만 내주시면 감사하겠습니다!!https://form.office.naver.com/form/responseView.cmd?formkey=OWNkNDE0NGYtMTg0NS00MjZhLTk4ODItNDM3Zjk5ZWVkNDM1&sourceId=urlshare"
content,팀플 진짜 그지같네 개빡친다
comment,하핳ㅎㅎㅎㅎㅎㅎㅎ그러겧ㅎㅎㅎㅎ아닛 톡을 이틀동안 안볼수도 있나??ㅎㅎㅎㅎㅎㅎㅎ,11/06 20:40
comment,나 완전 쫘증나,11/06 22:09
comment,나만 팀플하냐~~~,11/06 22:09
